Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;1;;;;
Cancel;0;0;7;7;7;7
Hochziehen einer Solution;0;0;3;3;2;2
JobVerarbeiten;0;0;2;2;2;1
LockMode;0;1;;;;
Sitzung;0;0;5;5;5;5
Ekpr_import_schnittstelle;0;1;;;;
SignaturVorgang;0;1;;;;
Reperatur;0;0;6;6;7;7
TraceNummer;0;0;6;6;7;6
Notebook_Aufsetzen;0;0;7;7;7;7
TransportmittelFürFahrtenbuch;0;0;6;7;7;7
Inventur;0;0;2;1;1;1
BMD_updates;0;0;2;2;2;2
Fakturen;0;0;2;1;1;1
KommSchein;0;0;6;7;7;6
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;0;5;6;7;5
Benutzerberechtigungen;0;0;2;2;2;2
Architektur_Aus_Anwendersicht;0;0;3;3;3;3
Nachrichten;0;0;3;3;3;2
Klumpat_Attribut;0;0;2;1;1;1
Auswahldialog;0;0;4;5;5;4
löschen;0;1;;;;
inventurstorno;0;0;6;6;6;5
spl_Termin_neuberechnen;0;0;6;5;7;6
JobVerarbeitung_auslösen;0;0;4;5;5;4
Debitor;0;0;4;4;3;2
ViewUnitRetrieveType;0;0;4;4;5;5
MarkdownFile;0;0;7;7;7;7
Datencontext;0;0;6;5;7;7
db_export;0;1;;;;
speichern_neuanlage;1;;;;;
DatenobjekttypFürAnweisung;0;1;;;;
Kassa;0;0;4;4;5;4
Auftragsanlage;1;;;;;
Job_wartezeitfürwiederausführung;0;0;7;7;7;7
Transaktion;0;0;7;7;7;7
speichern_änderungsmodus;1;;;;;
Solution_releasen;0;0;6;6;5;6
Deploy_Ordner;0;0;5;5;5;5
BsIndikator;0;0;7;7;7;5
Warenbeschaffung;1;;;;;
Fehlerbehandlung;0;0;2;2;2;1
Verkaufspreisfindung;1;;;;;
Kommissionierung;1;;;;;
Saisonware;0;0;4;4;4;3
Sql_Phase1_2_3;0;0;4;2;4;2
