Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;1;;;;
Cancel;0;0;6;5;6;5
Hochziehen einer Solution;0;0;3;2;2;2
JobVerarbeiten;0;0;5;4;5;4
LockMode;0;1;;;;
Sitzung;0;0;5;5;6;4
Ekpr_import_schnittstelle;0;1;;;;
SignaturVorgang;0;1;;;;
Reperatur;0;0;4;4;5;4
TraceNummer;0;0;5;4;5;4
Notebook_Aufsetzen;0;0;6;6;7;6
TransportmittelFürFahrtenbuch;0;0;7;7;7;7
Inventur;0;0;2;2;2;2
BMD_updates;0;0;4;3;4;3
Fakturen;0;0;2;2;2;2
KommSchein;0;0;3;2;2;2
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;0;3;2;2;2
Benutzerberechtigungen;0;0;3;3;3;3
Architektur_Aus_Anwendersicht;0;0;2;2;2;2
Nachrichten;0;0;4;4;4;4
Klumpat_Attribut;0;0;3;3;3;3
Auswahldialog;0;0;4;4;4;4
löschen;0;1;;;;
inventurstorno;0;0;4;4;4;4
spl_Termin_neuberechnen;0;0;5;5;5;5
JobVerarbeitung_auslösen;0;0;3;3;3;3
Debitor;0;0;1;1;1;1
ViewUnitRetrieveType;0;0;4;4;4;4
MarkdownFile;0;0;6;6;6;6
Datencontext;0;0;5;5;5;5
db_export;0;1;;;;
speichern_neuanlage;1;;;;;
DatenobjekttypFürAnweisung;0;1;;;;
Kassa;0;0;2;2;2;2
Auftragsanlage;1;;;;;
Job_wartezeitfürwiederausführung;0;0;5;5;5;5
Transaktion;0;0;7;7;7;7
speichern_änderungsmodus;1;;;;;
Solution_releasen;0;0;5;5;5;5
Deploy_Ordner;0;0;5;5;5;5
BsIndikator;0;0;3;3;3;3
Warenbeschaffung;1;;;;;
Fehlerbehandlung;0;0;2;2;2;2
Verkaufspreisfindung;1;;;;;
Kommissionierung;1;;;;;
Saisonware;0;0;5;5;5;5
Sql_Phase1_2_3;0;0;1;1;1;1
